Era{0}: --------------------
(0.689109, 0.445795)
(0.689527, 0.499884)
(0.605400, 0.359700)
(0.740800, 0.536845)
(0.784436, 0.583591)
(0.723269, 0.513394)
(0.627056, 0.387477)
(0.725554, 0.507845)
(0.747332, 0.544258)
(0.600000, 0.330000)
(0.700306, 0.467900)

Era{44}: --------------------
(0.801879, 0.624576)
(0.534600, 0.267300)
(0.608912, 0.391446)
(0.808578, 0.622287)
(0.807424, 0.655417)
(0.808578, 0.622287)
(0.508698, 0.254800)
(0.632224, 0.402696)
(0.598434, 0.374847)
(0.689109, 0.445795)
(0.689527, 0.499884)
(0.605400, 0.359700)
(0.740800, 0.536845)
(0.784436, 0.583591)
(0.723269, 0.513394)
(0.627056, 0.387477)
(0.725554, 0.507845)
(0.747332, 0.544258)
(0.600000, 0.330000)
(0.700306, 0.467900)

Era{45}: --------------------
(0.801879, 0.624576)
(0.534600, 0.267300)
(0.608912, 0.391446)
(0.808578, 0.622287)
(0.807424, 0.655417)
(0.808578, 0.622287)
(0.508698, 0.254800)
(0.632224, 0.402696)
(0.598434, 0.374847)
(0.689109, 0.445795)
(0.689527, 0.499884)
(0.605400, 0.359700)
(0.740800, 0.536845)
(0.784436, 0.583591)
(0.723269, 0.513394)
(0.627056, 0.387477)
(0.725554, 0.507845)
(0.747332, 0.544258)
(0.600000, 0.330000)
(0.700306, 0.467900)

Era{46}: --------------------
(0.801879, 0.624576)
(0.534600, 0.267300)
(0.850902, 0.691009)
(0.808578, 0.622287)
(0.807424, 0.655417)
(0.808578, 0.622287)
(0.508698, 0.254800)
(0.632224, 0.402696)
(0.598434, 0.374847)
(0.689109, 0.445795)
(0.689527, 0.499884)
(0.605400, 0.359700)
(0.740800, 0.536845)
(0.784436, 0.583591)
(0.760902, 0.573471)
(0.627056, 0.387477)
(0.725554, 0.507845)
(0.747332, 0.544258)
(0.600000, 0.330000)
(0.700306, 0.467900)

Era{47}: --------------------
(0.801879, 0.624576)
(0.534600, 0.267300)
(0.850902, 0.691009)
(0.808578, 0.622287)
(0.807424, 0.655417)
(0.808578, 0.622287)
(0.765487, 0.593629)
(0.632224, 0.402696)
(0.779637, 0.607888)
(0.689109, 0.445795)
(0.689527, 0.499884)
(0.605400, 0.359700)
(0.740800, 0.536845)
(0.784436, 0.583591)
(0.760902, 0.573471)
(0.627056, 0.387477)
(0.725554, 0.507845)
(0.747332, 0.544258)
(0.600000, 0.330000)
(0.700306, 0.467900)

Era{48}: --------------------
(0.801879, 0.624576)
(0.534600, 0.267300)
(0.850902, 0.691009)
(0.808578, 0.622287)
(0.807424, 0.655417)
(0.808578, 0.622287)
(0.765487, 0.593629)
(0.632224, 0.402696)
(0.779637, 0.607888)
(0.689109, 0.445795)
(0.689527, 0.499884)
(0.605400, 0.359700)
(0.740800, 0.536845)
(0.784436, 0.583591)
(0.760902, 0.573471)
(0.627056, 0.387477)
(0.725554, 0.507845)
(0.747332, 0.544258)
(0.600000, 0.330000)
(0.700306, 0.467900)

Era{49}: --------------------
(0.801879, 0.624576)
(0.534600, 0.267300)
(0.850902, 0.691009)
(0.808578, 0.622287)
(0.807424, 0.655417)
(0.808578, 0.622287)
(0.814046, 0.668841)
(0.632224, 0.402696)
(0.779637, 0.607888)
(0.689109, 0.445795)
(0.689527, 0.499884)
(0.605400, 0.359700)
(0.740800, 0.536845)
(0.784436, 0.583591)
(0.760902, 0.573471)
(0.627056, 0.387477)
(0.792178, 0.653362)
(0.747332, 0.544258)
(0.600000, 0.330000)
(0.700306, 0.467900)

Era{50}: --------------------
(0.801879, 0.624576)
(0.534600, 0.267300)
(0.850902, 0.691009)
(0.808578, 0.622287)
(0.807424, 0.655417)
(0.808578, 0.622287)
(0.814046, 0.668841)
(0.632224, 0.402696)
(0.779637, 0.607888)
(0.689109, 0.445795)
(0.689527, 0.499884)
(0.605400, 0.359700)
(0.740800, 0.536845)
(0.784436, 0.583591)
(0.760902, 0.573471)
(0.627056, 0.387477)
(0.792178, 0.653362)
(0.747332, 0.544258)
(0.600000, 0.330000)
(0.700306, 0.467900)

Era{51}: --------------------
(0.801879, 0.624576)
(0.534600, 0.267300)
(0.850902, 0.691009)
(0.808578, 0.622287)
(0.807424, 0.655417)
